time_sec,timestamp,volatility_5,z_time,z_vol,state_id,state_name,prob_flow,prob_base,prob_tilt
18.94,2025-10-28 17:47:54,2.9754024937813077,0.15081037913512158,0.16052727134639846,1,Baseline,0.08434824902525133,0.5510497307214092,0.3646020202533633
18.37,2025-10-28 17:48:49,2.726429900070793,-0.03437842813541597,-0.06483866763212183,0,Flow,0.8586289376007491,0.08526077482631277,0.056110287572722156
21.68,2025-10-28 17:49:28,1.8184278924389725,1.041016224611038,-0.886747304219879,1,Baseline,0.09603288219748529,0.8554136218596626,0.04855349594305961
15.46,2025-10-28 17:50:01,2.3621430947341118,-0.9798160231481599,-0.3945851538563982,0,Flow,0.8637807068641674,0.007904411608622281,0.12831488152717188
11.66,2025-10-28 17:51:13,3.8139113780999234,-2.2144080716184096,0.9195318639403003,2,Tilt,0.007228496914752744,0.0011475170004610893,0.9916239860848176
17.27,2025-10-28 17:51:48,3.697184063581371,-0.3917603369031203,0.8138721989592559,2,Tilt,0.0046712922172340195,7.557990810694184e-07,0.9953279519836387
25.42,2025-10-28 17:52:26,5.3697039024512385,2.2561147144212317,2.32780993134025,2,Tilt,1.1764457080751749e-08,5.281419862368539e-13,0.9999999882352314
29.18,2025-10-28 17:53:07,7.2640360681923966,3.4777110571181096,4.0425285712796155,2,Tilt,4.0918435933232786e-17,7.769077709424734e-23,1.0
17.56,2025-10-28 17:53:57,7.006662543608052,-0.2975414700461804,3.809558246426899,2,Tilt,1.285206457359525e-12,2.0762712968151847e-18,0.9999999999986358
21.61,2025-10-28 23:27:07,5.13008479462085,1.0182737395076384,2.1109106155216586,2,Tilt,7.894499093067067e-07,4.484280229066115e-11,0.9999992105052503
21.39,2025-10-28 23:27:48,4.420449072209751,0.9467973577540981,1.4685599112516572,2,Tilt,5.185368849410433e-05,1.9498056259702044e-07,0.9999479513311375
17.55,2025-10-28 23:29:08,4.746679892303678,-0.30079039648952255,1.7638587391205809,2,Tilt,0.0025995428466600978,5.808062129612746e-06,0.9973946490914058
21.01,2025-10-28 23:29:41,2.0823976565488325,0.8233381529070735,-0.6478061707241697,2,Tilt,0.24990461900875546,0.34692140395010723,0.4031739770410236
16.61,2025-10-28 23:30:18,2.364800202977001,-0.6061894821637426,-0.3921799827281149,0,Flow,0.6956550547937759,0.23783641335545344,0.06650853185076913
15.04,2025-10-28 23:30:54,2.781024990898153,-1.1162709337685564,-0.015420080129950824,1,Baseline,0.2403916368203231,0.6751562826663335,0.08445208051334215
18.51,2025-10-28 23:31:29,2.2298385591786847,0.011106542071382884,-0.5143450657494902,0,Flow,0.6981996154179109,0.002921165562780233,0.2988792190194024
26.57,2025-10-28 23:32:06,4.513238305252678,2.6297412554056487,1.5525512145520126,2,Tilt,7.661955751515457e-05,6.819211857871827e-09,0.9999233736231072
24.85,2025-10-28 23:32:45,5.111309029984399,2.070925907150694,2.0939150990100965,2,Tilt,1.0054338520436553e-07,2.609855227166348e-12,0.9999998994540016
17.39,2025-10-28 23:34:55,4.980142568240397,-0.3527732195830068,1.97518535300521,2,Tilt,4.948262471884594e-06,2.106778418675175e-09,0.9999950496307723
19.0,2025-10-28 23:35:48,4.1452116954384906,0.17030393779517772,1.219419518192322,2,Tilt,0.00042853282628595494,9.648950767044603e-08,0.9995713706841418
16.88,2025-10-28 23:36:21,4.467512730815667,-0.5184684681934882,1.51116116890582,2,Tilt,0.00010473818625307667,8.372366054062311e-07,0.9998944245772718
22.75,2025-10-28 23:37:09,3.4813833457406065,1.3886513540487135,0.6185329020365977,2,Tilt,0.005358933212671824,0.0005350490278146457,0.9941060177596
16.05,2025-10-28 23:37:46,2.6520991685832658,-0.7881293629909369,-0.1321216357973821,2,Tilt,0.10338854475316453,0.008879939136020554,0.8877315161108913
23.02,2025-10-28 23:38:14,3.23889641699145,1.476372368018968,0.3990376814055596,2,Tilt,0.01998264774962959,0.0015245244262443367,0.9784928278242554
