No.;Time;Comment;Scramble;Date;P.1
65;17.41;;D U2 B U2 F L2 R2 U2 B2 U2 B' D2 U2 L' D L R' U' B2 D F;2025-10-25 22:21:05;17.41
66;14.88;;D2 F2 R2 B2 D' B2 U2 L2 U B2 U' B' D R' U2 B L F D L F2;2025-10-25 22:23:17;14.88
67;20.70;;D R2 D F2 D L B L2 F' R2 U' F2 R2 F2 R2 D' B2 D B2 U2;2025-10-25 22:23:53;20.70
68;15.71;;U R2 D' B2 U' L2 R2 D' F2 U2 B' D F' D' B2 R' F' L' R2 F2;2025-10-25 22:24:32;15.71
69;20.26;;U B2 L2 U L2 B2 U2 B2 D2 U' R B2 D' L' F D U2 L' F D';2025-10-25 22:25:20;20.26
70;20.80;;F D2 F2 U2 L2 B' U2 B D2 F2 D2 L U F2 D B' R2 D2 L2 F R';2025-10-25 22:32:33;20.80
71;16.78;;L' U' D B' R U' B L' B2 U2 F2 U' L2 D F2 U B2 U B2;2025-10-25 22:33:18;16.78
72;18.53;;F B' U L B2 U D R U2 F' R2 B U2 F2 D2 F R2 L2 F2 L';2025-10-25 22:33:50;18.53
73;15.77;;L D2 R2 U' F2 U B2 L2 B2 R2 U2 F L' D' L' F' U2 R' U';2025-10-25 22:35:28;15.77
74;19.93;;R2 U F' R D F B D' B U F2 U L2 U2 L2 B2 D R2 U' L2;2025-10-25 22:36:08;19.93
75;18.28;;R' U B2 L D2 R' U2 F2 R2 F2 R2 D2 B2 D' F R2 B' D' U B' U2;2025-10-25 22:38:54;18.28
76;16.80;;B2 F2 R D2 L' D2 R U2 L D2 B2 R' D B' D2 L B L' U L2 U;2025-10-25 22:40:07;16.80
77;18.60;;B R2 F' L2 D2 F' D2 U2 F2 R2 D2 B R D' F' R2 D2 R2 D F2 L;2025-10-25 22:41:12;18.60
78;19.18;;L' F2 U2 B D2 B' R2 B2 D2 B' R2 F' D' L2 D2 B' U' B' L U2;2025-10-25 22:44:23;19.18
79;18.91;;U2 R U L2 R2 B2 D B2 R2 B2 D2 L D U2 F D' U2 R' F;2025-10-25 22:44:58;18.91
80;22.86;;L2 U' D' L B' R' F' R' F' D2 F2 D2 F2 L2 B D2 F' R2 U2 B R;2025-10-25 22:45:41;22.86
81;18.42;;U2 B U2 B R2 F2 L2 B2 U2 L2 U2 L U2 B' F' R2 D L' F D2 R';2025-10-25 22:46:19;18.42
82;17.27;;R2 B' U2 F2 D2 R2 U2 F' L2 B R2 D F L B' F D2 F2 R U2;2025-10-26 22:34:46;17.27
83;19.04;;R F' D R2 B2 R2 D R2 D2 B2 D2 U' F2 R' U' F' U B2 L B2;2025-10-26 22:35:18;19.04
84;19.85;;R D' L2 U R2 D F2 U' R2 D2 F' L' B' L2 F2 D R' F2 U2;2025-10-26 22:36:08;19.85
85;17.90;;U R' D2 B' L2 B D2 U2 F2 R2 D2 F' D2 F R' B' L' R U' L2 F';2025-10-26 22:36:46;17.90
86;16.93;;U2 D' F' L2 D B D2 R' F2 R2 F2 U' B2 D' F2 D B2 R2 D R;2025-10-26 22:37:25;16.93
87;18.97;;F' L' F2 U B U R' F D' L2 D F2 B2 L2 D' L2 D' R2 D F2 L;2025-10-26 22:38:24;18.97
88;14.18;;R F2 L F2 U2 L' F2 L2 U2 B2 D2 B2 F' R' D2 R' D' U2 R U2 F;2025-10-26 22:39:08;14.18
89;18.49;;F U F' U' B' R U' F R U2 D2 R U2 L' U2 D2 L' U2 L' B2;2025-10-26 22:40:36;18.49
90;15.43;;F R2 F2 U2 F2 U F2 U' R2 U F2 B' L D' R U2 B' F2 L2 D';2025-10-26 22:41:23;15.43
91;17.42;;L2 U' L2 U F2 L2 D2 L2 D' L2 F2 R2 F' L R2 B' F R D' L B2;2025-10-26 22:42:22;17.42
92;18.24;;R' U2 B2 D2 U2 R F2 L' F2 R' B' L D R2 D' U' B' D' R' D';2025-10-26 22:43:16;18.24
93;17.38;;U' R2 F2 R2 B2 U2 L2 D U2 L2 U R D' L' R' F' L2 U' B R2 U2;2025-10-26 22:43:47;17.38
94;15.44;;F' D2 B2 U2 R2 F2 L2 B2 U' B2 D' F' L2 U' B2 D2 L' U L2 F;2025-10-26 22:44:33;15.44
95;17.48;;L F D2 L2 B' D F' U2 R' F2 D2 R2 F L2 B' L2 U2 R2 U2;2025-10-26 22:45:02;17.48
96;20.75;;D' R F R' B' R B2 L F D2 R2 F2 U' R2 L2 B2 U2 D' B2 D' B2;2025-10-26 22:45:37;20.75
97;22.62;;L' U F2 D L D2 R' F U' L2 D2 B2 L' B2 D2 L F2 R2 U2 L;2025-10-26 22:46:19;22.62
98;19.97;;F2 U2 L2 U2 R2 F2 U2 F' D2 F' L' U' F U2 L' B2 F2 R D2;2025-10-26 22:47:07;19.97
99;17.08;;F' D2 L D2 L' B2 L' D2 R D B D2 R2 D2 B U R2;2025-10-26 22:48:02;17.08
100;18.58;;R' F L2 B L2 D2 B2 L2 D2 B2 U2 L B' D F2 U' R2 D2 B R';2025-10-26 22:48:46;18.58
101;19.32;;L' B2 D' F2 L2 U2 L2 D2 U R2 U L2 F' D' R' B' F D' F U';2025-10-26 22:49:40;19.32
102;18.68;;B L' B2 F2 R' B2 L U2 B2 L2 D2 L2 F U L' F R' B2 D;2025-10-26 22:50:10;18.68
103;13.85;;B' U' L F' B2 D' B2 R' F2 R2 F' L2 D2 L2 B D2 B L2 D2 U;2025-10-26 22:50:41;13.85
104;23.26;;B' D B2 U' F2 D' B2 U' L2 R2 U2 R2 L U' L2 D2 B' L' D' F L;2025-10-26 22:51:47;23.26
105;19.35;;U2 D F2 D2 F L' D' F D2 F R2 F' L2 D2 L2 U2 F' R2 L' U;2025-10-26 22:53:00;19.35
106;19.92;;L B U2 F2 R' F2 L2 D' L2 F B2 D2 B' U2 R2 L2 F L2 F2 R;2025-10-26 22:53:36;19.92
107;18.47;;R U2 F2 R2 B2 R D2 R' U2 B2 U2 R D' R' F' L B' L' D' U2 F2;2025-10-26 22:54:35;18.47
108;21.71;;F2 L2 F L2 D2 F' D2 R2 F D2 B2 D' R B' D2 B' R' D' U R;2025-10-28 15:55:57;21.71
109;15.83;;U2 B2 U2 L2 B' L2 U2 B L2 U2 R2 D' F R U' L F2 U2 B U' L';2025-10-28 15:56:39;15.83
110;14.35;;D R2 B2 U R F L2 U' D R' U2 B2 R2 F2 L B2 L2 U2 F2 R2;2025-10-28 15:57:19;14.35
111;17.58;;L2 D2 F2 R2 U' R2 U L2 U' F2 L2 B U2 F R2 U L' B2 U' L;2025-10-28 15:57:47;17.58
112;14.60;;D L U L2 U2 F2 D2 B2 R2 B2 D F2 U2 R2 F' R B F' R' D2 R2;2025-10-28 15:58:23;14.60
113;24.45;;U B2 F2 D F2 L2 R2 U2 L2 B2 U' F U' R' U B2 U2 L B R';2025-10-28 15:58:58;24.45
114;21.21;;R2 D2 F U2 R2 F R2 B F2 L2 F' R' D B' D R U R2;2025-10-28 16:01:29;21.21
115;11.64;;F2 B L2 F2 U' B L D F U2 F L2 B' D2 R2 U2 F L2 F';2025-10-28 16:02:04;11.64
116;20.27;;L2 F R2 B R2 B2 D2 L2 D2 L2 F L2 R' B' R2 F' L F' U' B2 R';2025-10-28 16:02:45;20.27
117;17.26;;L2 F2 D2 F' L2 F2 D2 R2 B D2 B R' D L2 U F D2 L R' D';2025-10-28 16:05:17;17.26
118;19.18;;F U2 R' U2 L2 F2 D2 R D2 L' B2 F2 L' U B' L' F' D2 B U;2025-10-28 16:06:03;19.18
119;19.42;;L' U' D2 F' D' F' L B2 L2 F2 U' R2 D F2 U B2 D' B2 D R' U;2025-10-28 16:06:34;19.42
120;19.48;;U D2 L F B' U R U' L D F2 B2 U' L2 U2 L2 B2 R2 F2 D' L2;2025-10-28 16:07:05;19.48
121;16.92;;R D2 U2 F' U2 B' L2 F' U2 R2 F' L2 D L U F' L' B2 F2 D' L2;2025-10-28 16:07:38;16.92
122;22.01;;B' D' R B' D' B' R2 L' B U2 B2 R F2 L U2 D2 B2 R' L2;2025-10-28 16:08:11;22.01
123;20.33;;U2 B R2 U B2 U' F2 D F2 D2 B2 L2 R D2 B D' B2 F2 L' F;2025-10-28 16:09:36;20.33
124;17.42;;B U2 B2 R2 B' R2 F' R2 F U2 F' R2 L' B2 D' R' D' B2 L U' B2;2025-10-28 16:10:18;17.42
125;15.68;;U L2 F' U' L2 U2 R2 D2 B2 D' B2 U2 F2 L' D F' D2 B L2 D;2025-10-28 16:10:49;15.68
126;15.53;;L2 D L2 F2 D2 B2 U' B2 D L2 R2 U' B' L U F' D' B F U' B2;2025-10-28 16:11:21;15.53
127;17.65;;D' R2 F' D' L B' D L2 B R' D2 B2 R D2 R2 D2 B2 U2 B2 R;2025-10-28 16:11:50;17.65
128;25.68;;D' R2 U2 B' L B L2 B F2 L2 F2 U2 R2 D R2 U L2 D' R2 D' F;2025-10-28 16:12:36;25.68
129;29.87;;R' F' L F' D B' L B2 U2 F' R2 U2 F' R2 B' U2 D2 L2 R' F2;2025-10-28 16:13:17;29.87
130;17.28;;R2 D U B2 F2 D F2 U R2 F2 B' U L' R' B U2 L B L' R2;2025-10-28 16:14:27;17.28
131;15.35;;D2 U F2 R' B2 U2 L B2 D2 R' F L' B D2 F U' L' R2;2025-10-28 16:15:02;15.35
132;15.92;;L' U2 D' R' B2 L B2 U' R2 L2 F' L2 B U2 L2 D2 L2 F' L2 R;2025-10-28 16:15:42;15.92
133;26.01;;U' B2 U2 R D2 R' U2 R D2 F2 R' B2 U B' F' L' R2 F2 D2;2025-10-28 16:16:11;26.01
134;19.61;;U2 R' D2 U2 R2 B2 R D2 B2 U2 R' F' L' R F' D2 L' U R' B;2025-10-28 16:16:51;19.61
135;15.44;;B2 U' B2 L2 D F2 D R2 F2 D U' F L' R2 B' L B2 U R' D' F;2025-10-28 16:17:24;15.44
136;13.60;;D2 L2 U2 B2 L B2 R D2 R' F2 D2 L' F' D' L' U' F L2 F2 R D2;2025-10-28 16:18:00;13.60
137;14.73;;U' L2 B2 R F2 D2 B2 U2 R D2 R' B2 U' R B' D' U' L' B2 L;2025-10-28 16:18:27;14.73
138;17.77;;B R2 U2 B2 R' D2 L D2 R B2 L R2 B L2 B2 D' L2 R' B2 D;2025-10-28 16:19:03;17.77
139;17.72;;B' D U2 B R2 B2 R2 F2 D2 B D2 U2 L2 F D' R' U F2 L' B' D;2025-10-28 16:19:47;17.72
140;17.15;;U R2 F' D2 L' D2 L F2 R2 F2 U2 B2 L' R' B U B2 L R2 B2 F2;2025-10-28 16:20:28;17.15
141;25.89;;R U D2 L' D2 U2 L F2 L U2 L2 F2 U2 B D2 U' F' U2 R2 B2;2025-10-28 16:21:06;25.89
142;23.37;;B R D R2 F2 L2 R2 D' L2 D2 U' B' F' D' L' U2 B2 F' R';2025-10-28 16:22:52;23.37
143;13.52;;D2 F L2 F' D2 R2 D2 U2 F' U2 F' L' D F2 L' F2 L2 U' L' U';2025-10-28 16:23:44;13.52
144;17.15;;B' U2 L2 D' R2 U' L2 U B2 L2 B2 F' U' B' U' L' D' R U2 B';2025-10-28 16:24:15;17.15
145;14.26;;U' R2 B F2 R2 D L2 U F2 D' R2 U B2 U L R U' B' R F' U;2025-10-28 16:24:47;14.26
146;18.27;;B D2 R2 F2 L2 B' F2 L2 F R2 U2 L2 U B2 F2 L' D R2 U2 R;2025-10-28 16:25:16;18.27
147;20.00;;U2 B' U2 L2 B2 R2 B L2 R U F2 R D2 U R' B L2;2025-10-28 16:25:58;20.00
148;15.25;;B' F2 R2 B D2 R2 F' D2 B U2 L2 U' B U2 L2 R' D2 B2 F R2;2025-10-28 16:27:12;15.25
149;18.07;;U2 L R2 U2 B2 L' R2 D2 U2 R' F L' F' R B2 D L' D U2;2025-10-28 16:27:47;18.07
150;19.49;;L2 D' B2 R2 U' B2 R2 D2 B2 F2 R2 F' L' F U2 L F2 L2 R F';2025-10-28 16:28:23;19.49
151;19.24;;F2 L2 U2 L2 R U2 R2 F2 U2 F2 L' B2 D F2 L U2 L2 F' D' U' R;2025-10-28 16:29:18;19.24
152;23.04;;U' B2 R' U2 R' D2 L' B2 R' D2 U2 L' U' F D2 L2 F2 D' B L2;2025-10-28 16:30:00;23.04
153;22.54;;U L2 U' B2 F2 D' B2 U2 L2 U' L D U2 F' U L2 R2 B2 R F;2025-10-28 16:30:37;22.54
154;24.60;;U F2 U2 B2 L2 F2 D F2 U2 B U' R' D' B' D' R2 U F U;2025-10-28 16:31:18;24.60
155;22.92;;U B R' F2 B2 D F B2 U2 L2 U L2 U R2 F2 U' L2 D2 B' L';2025-10-28 16:32:04;22.92
156;17.91;;U' L B' R2 F R2 L F2 B L2 D2 B L2 U2 B U2 L2 B2 R U;2025-10-28 17:12:00;17.91
157;17.32;;B L' U2 F' L2 D2 R2 U2 F' D2 F' L2 F' U2 D R B' R2 U' F2 L2;2025-10-28 17:12:32;17.32
